class,rank,type,gene_index,score,gene_name
CD56+ NK,3,top,5745,1.472894310951233,GNLY
CD56+ NK,4,top,5092,1.3790810108184814,FGFBP2
CD56+ NK,5,top,5017,1.361459732055664,FCGR3A
CD56+ NK,6,top,6092,1.0929234027862549,GZMH
CD56+ NK,7,top,9358,0.9933907985687256,NKG7
CD56+ NK,8,top,11104,0.9087374806404114,PRF1
CD56+ NK,9,top,3313,0.8974791169166565,CST7
CD56+ NK,10,top,6090,0.8408198952674866,GZMA
CD56+ NK,11,top,3397,0.7872027158737183,CTSW
CD56+ NK,12,top,2853,0.7171858549118042,CLIC3
CD56+ NK,13,top,6373,0.6329004764556885,HOPX
CD56+ NK,14,top,2212,0.5913972854614258,CCL4
CD56+ NK,15,top,2344,0.5546053051948547,CD7
CD56+ NK,1,bottom,6281,-0.2550832033157348,HLA-A
CD56+ NK,2,bottom,6283,-0.2196837961673736,HLA-C
CD56+ NK,3,bottom,6295,-0.2060393989086151,HLA-DRB1
CD56+ NK,4,bottom,10416,-0.1891829669475555,PFN1
CD56+ NK,5,bottom,15805,-0.1889258176088333,VIM
CD56+ NK,6,bottom,6282,-0.1874149590730667,HLA-B
CD56+ NK,7,bottom,6296,-0.1598863005638122,HLA-DRB5
CD56+ NK,8,bottom,6289,-0.1591359227895736,HLA-DPB1
CD56+ NK,9,bottom,2317,-0.1575173586606979,CD37
CD56+ NK,10,bottom,12396,-0.1481213122606277,S100A6
CD56+ NK,11,bottom,12210,-0.1362969130277633,RPL3
CD56+ NK,12,bottom,186,-0.1329931169748306,ACTG1
CD56+ NK,13,bottom,2329,-0.1323080360889434,CD52
CD56+ NK,14,bottom,12206,-0.1275658309459686,RPL38
CD56+ NK,15,bottom,1219,-0.1255033612251281,B2M
CD4+/CD45RO+ Memory,1,top,7404,0.7082725167274475,KLRB1
CD4+/CD45RO+ Memory,2,top,2328,0.5445961952209473,CD4
CD4+/CD45RO+ Memory,3,top,12386,0.4819182753562927,S100A11
CD4+/CD45RO+ Memory,4,top,690,0.4264839589595794,ANXA1
CD4+/CD45RO+ Memory,5,top,6769,0.4027960300445556,IL32
CD4+/CD45RO+ Memory,6,top,7678,0.3632824420928955,LGALS1
CD4+/CD45RO+ Memory,7,top,7737,0.2595349550247192,LIMS1
CD4+/CD45RO+ Memory,8,top,6090,0.244933620095253,GZMA
CD4+/CD45RO+ Memory,9,top,12394,0.2246461361646652,S100A4
CD4+/CD45RO+ Memory,10,top,6373,0.217455118894577,HOPX
CD4+/CD45RO+ Memory,11,top,14561,0.2027694284915924,TIMP1
CD4+/CD45RO+ Memory,12,top,7412,0.1953355222940445,KLRG1
CD4+/CD45RO+ Memory,13,top,15805,0.1909749507904052,VIM
